ITE00100550,18660101,TMAX,5,Unnamed: 4,Unnamed: 5,E,Unnamed: 7
ITE00100550,18660101,TMIN,-43,,,E,
ITE00100550,18660101,PRCP,0,,,E,
USC00064757,18660101,PRCP,0,,,F,
SF000208660,18660101,PRCP,0,,,I,
ASN00089000,18660101,PRCP,0,,,a,
CA006150689,18660101,TMAX,28,,,C,
CA006150689,18660101,TMIN,-117,,,C,
CA006150689,18660101,PRCP,0,,,C,
CA006150689,18660101,SNOW,0,,,C,
SWE00100003,18660101,PRCP,0,,,E,
ASN00086071,18660101,TMAX,350,,,a,
ASN00086071,18660101,TMIN,137,,,a,
ASN00086071,18660101,PRCP,0,,,a,
ASN00079042,18660101,PRCP,0,,,a,
USC00189674,18660101,PRCP,0,,,F,
CA006158350,18660101,TMAX,22,,,C,
CA006158350,18660101,TMIN,0,,,C,
CA006158350,18660101,PRCP,0,,,C,
CA006158350,18660101,SNOW,0,,,C,
HRE00105189,18660101,PRCP,23,,,E,
ASN00081003,18660101,PRCP,0,,,a,
ENE00175063,18660101,PRCP,0,,,E,
EIE00101859,18660101,TMAX,83,,,E,
EIE00101859,18660101,TMIN,11,,,E,
EIE00101859,18660101,PRCP,36,,,E,
CA006153192,18660101,TMAX,39,,,C,
CA006153192,18660101,TMIN,-89,,,C,
CA006153192,18660101,PRCP,0,,,C,
CA006153192,18660101,SNOW,0,,,C,
CA006110549,18660101,TMAX,11,,,C,
CA006110549,18660101,TMIN,-78,,,C,
CA006110549,18660101,PRCP,0,,,C,
CA006110549,18660101,SNOW,0,,,C,
BE000006447,18660101,TMAX,61,,,I,
BE000006447,18660101,TMIN,46,,,I,
AGE00135039,18660101,PRCP,0,,,E,
USC00047738,18660101,PRCP,0,P,,Z,
NLM00006235,18660101,PRCP,8,,,E,
ASN00026020,18660101,PRCP,0,,,a,
GME00125218,18660101,TMAX,51,,,E,
GME00125218,18660101,TMIN,23,,,E,
GME00125218,18660101,PRCP,0,,,E,
GME00125218,18660101,SNWD,0,,,E,
NLE00100499,18660101,PRCP,230,,,E,
EZE00100082,18660101,TMAX,1,,,E,
EZE00100082,18660101,TMIN,-31,,,E,
EZE00100082,18660101,PRCP,0,,,E,
ITE00100554,18660101,TMAX,30,,,E,
ITE00100554,18660101,TMIN,10,,,E,
ITE00100554,18660101,PRCP,227,,,E,
USC00361920,18660101,PRCP,0,,,F,
ASN00066062,18660101,TMAX,261,,,a,
ASN00066062,18660101,TMIN,198,,,a,
ASN00066062,18660101,PRCP,0,,,a,
ASN00023000,18660101,PRCP,0,,,a,
SW000010537,18660101,PRCP,35,,,E,
ASN00022018,18660101,PRCP,0,,,a,
AU000005901,18660101,TMAX,-21,,,E,
AU000005901,18660101,TMIN,-38,,,E,
GM000004204,18660101,TMAX,70,,,E,
GM000004204,18660101,TMIN,20,,,E,
GM000004204,18660101,PRCP,0,,,E,
ASN00075048,18660101,PRCP,0,,,a,
ASN00021014,18660101,PRCP,0,,,a,
UK000047811,18660101,TMAX,94,,,E,
UK000047811,18660101,TMIN,3,,,E,
UK000047811,18660101,PRCP,8,,,E,
USC00288878,18660101,TMAX,33,,,6,
USC00288878,18660101,TMIN,11,,,6,
USC00288878,18660101,PRCP,0,T,,6,
USC00288878,18660101,SNOW,0,P,,6,
HR000142360,18660101,PRCP,3,,,E,
ASN00084016,18660101,PRCP,0,,,a,
ITE00100552,18660101,PRCP,225,,,E,
ITE00100553,18660101,PRCP,0,,,E,
ITE00105250,18660101,PRCP,0,,,E,
CA006148100,18660101,TMAX,0,,,C,
CA006148100,18660101,TMIN,-106,,,C,
CA006148100,18660101,PRCP,0,,,C,
CA006148100,18660101,SNOW,0,,,C,
USP00CA0001,18660101,PRCP,0,,,F,
ASN00074128,18660101,PRCP,0,,,a,
ASN00090015,18660101,TMAX,250,,,a,
ASN00090015,18660101,TMIN,117,,,a,
ASN00041111,18660101,PRCP,0,,,a,
UK000056225,18660101,TMAX,100,,,E,
UK000056225,18660101,TMIN,22,,,E,
UK000056225,18660101,PRCP,3,,,E,
ASN00026026,18660101,PRCP,0,,,a,
ASN00089049,18660101,PRCP,0,,,a,
SZ000006717,18660101,TMAX,-79,,,G,
SZ000006717,18660101,TMIN,-91,,,G,
ITE00100550,18660102,TMAX,40,,,E,
ITE00100550,18660102,TMIN,-20,,,E,
ITE00100550,18660102,PRCP,0,,,E,
