ITE00100550,18670101,TMAX,60,Unnamed: 4,Unnamed: 5,E,Unnamed: 7
ITE00100550,18670101,TMIN,-7,,,E,
ITE00100550,18670101,PRCP,0,,,E,
USC00064757,18670101,PRCP,0,,,F,
USC00064757,18670101,SNOW,127,,,F,
ASN00017003,18670101,PRCP,0,,,a,
USC00264939,18670101,PRCP,0,,,F,
SF000208660,18670101,PRCP,0,,,I,
ASN00089000,18670101,PRCP,0,,,a,
CA006150689,18670101,TMAX,-17,,,C,
CA006150689,18670101,TMIN,-78,,,C,
CA006150689,18670101,PRCP,0,,,C,
CA006150689,18670101,SNOW,0,,,C,
SWE00100003,18670101,PRCP,0,,,E,
ASN00058024,18670101,PRCP,0,,,a,
ASN00086071,18670101,TMAX,355,,,a,
ASN00086071,18670101,TMIN,117,,,a,
ASN00086071,18670101,PRCP,0,,,a,
USC00463630,18670101,PRCP,0,P,,6,
USC00463630,18670101,SNOW,0,,,6,
ASN00068140,18670101,PRCP,0,,,a,
ASN00079042,18670101,PRCP,0,,,a,
CA006158350,18670101,TMAX,-28,,,C,
CA006158350,18670101,TMIN,-89,,,C,
CA006158350,18670101,PRCP,0,,,C,
CA006158350,18670101,SNOW,0,,,C,
HRE00105189,18670101,PRCP,0,,,E,
ASN00081003,18670101,PRCP,0,,,a,
ENE00175063,18670101,PRCP,14,,,E,
EIE00101859,18670101,TMAX,39,,,E,
EIE00101859,18670101,TMIN,-50,,,E,
EIE00101859,18670101,PRCP,0,,,E,
CA006153192,18670101,TMAX,-17,,,C,
CA006153192,18670101,TMIN,-106,,,C,
CA006153192,18670101,PRCP,0,,,C,
CA006153192,18670101,SNOW,0,,,C,
CA006139520,18670101,TMAX,-61,,,C,
CA006139520,18670101,TMIN,-111,,,C,
CA006139520,18670101,PRCP,0,,,C,
CA006139520,18670101,SNOW,0,,,C,
CA006110549,18670101,TMAX,-22,,,C,
CA006110549,18670101,TMIN,-94,,,C,
CA006110549,18670101,PRCP,0,,,C,
CA006110549,18670101,SNOW,0,,,C,
ASN00040214,18670101,PRCP,0,,,a,
BE000006447,18670101,TMAX,18,,,I,
BE000006447,18670101,TMIN,-10,,,I,
AGE00135039,18670101,PRCP,0,,,E,
ASN00022020,18670101,PRCP,0,,,a,
NLM00006235,18670101,PRCP,11,,,E,
ASN00026020,18670101,PRCP,0,,,a,
EI000003969,18670101,TMAX,17,,,E,
EI000003969,18670101,TMIN,-37,,,E,
